Date : 2021-06-20 01:13:01
Directory : /Users/vcobbler/Desktop/push_swap
Total : 110 files,  2869 codes, 83 comments, 488 blanks, all 3440 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C        |         92 |      1,959 |          0 |        302 |      2,261 |
| Python   |          7 |        351 |         40 |         72 |        463 |
| C++      |          8 |        330 |         40 |         59 |        429 |
| Makefile |          3 |        229 |          3 |         55 |        287 |
+----------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                             | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                |        110 |      2,869 |         83 |        488 |      3,440 |
| ft_printf                                                                        |         48 |      1,440 |          1 |        195 |      1,636 |
| ft_printf/includes                                                               |          3 |        123 |          0 |         17 |        140 |
| ft_printf/libft                                                                  |         21 |        255 |          0 |         53 |        308 |
| ft_printf/out_funcs                                                              |         15 |        839 |          0 |         86 |        925 |
| ft_printf/parser                                                                 |          6 |        127 |          0 |         15 |        142 |
| includes                                                                         |          1 |         20 |          0 |          2 |         22 |
| libft                                                                            |         52 |        954 |         41 |        186 |      1,181 |
| python_algo                                                                      |          7 |        351 |         40 |         72 |        463 |
+----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                         | language | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| /Users/vcobbler/Desktop/push_swap/Makefile                                       | Makefile |         68 |          1 |         24 |         93 |
| /Users/vcobbler/Desktop/push_swap/ft_printf/Makefile                             | Makefile |         82 |          1 |         18 |        101 |
| /Users/vcobbler/Desktop/push_swap/ft_printf/ft_printf.c                          | C        |         10 |          0 |          3 |         13 |
| /Users/vcobbler/Desktop/push_swap/ft_printf/ft_printf.h                          | C++      |          4 |          0 |          3 |          7 |
| /Users/vcobbler/Desktop/push_swap/ft_printf/includes/libft.h                     | C++      |         42 |          0 |          6 |         48 |
| /Users/vcobbler/Desktop/push_swap/ft_printf/includes/out_funcs.h                 | C++      |         45 |          0 |          5 |         50 |
| /Users/vcobbler/Desktop/push_swap/ft_printf/includes/parser.h                    | C++      |         36 |          0 |          6 |         42 |
| /Users/vcobbler/Desktop/push_swap/ft_printf/libft/count_symbs.c                  | C        |         12 |          0 |          3 |         15 |
| /Users/vcobbler/Desktop/push_swap/ft_printf/libft/fill_with.c                    | C        |          6 |          0 |          2 |          8 |
| /Users/vcobbler/Desktop/push_swap/ft_printf/libft/ft_abs.c                       | C        |          7 |          0 |          2 |          9 |
| /Users/vcobbler/Desktop/push_swap/ft_printf/libft/ft_atoi.c                      | C        |         26 |          0 |          3 |         29 |
| /Users/vcobbler/Desktop/push_swap/ft_printf/libft/ft_bignumaddition.c            | C        |         16 |          0 |          3 |         19 |
| /Users/vcobbler/Desktop/push_swap/ft_printf/libft/ft_bignummultiply.c            | C        |         36 |          0 |          4 |         40 |
